Customer_ID,Customer_Name,Age,Gender,Churn
44605,John Rivera,31,Female,0
13738,Lauren Johnson,27,Female,0
33969,Carol Allen,27,Male,0
42650,Curtis Smith,20,Female,0
24053,Jose Green,53,Male,0
19676,Linda Lee,57,Male,0
19917,Joshua Davis,34,Male,1
16051,Ellen Kent,45,Male,0
23734,Cheryl Espinoza,18,Male,0
16921,Cheyenne James,54,Male,0
7796,Lisa Dennis,21,Male,0
21035,Peter Watson,50,Female,1
37125,Terry Campos,24,Female,0
41840,Ronald Berger,48,Male,0
2642,Ian Kelley,67,Female,0
1254,Mr. David Morgan,70,Male,0
13389,Monica Ramos,51,Male,0
24473,Nicole Lewis,38,Female,0
11230,Rebecca Boyer,23,Male,0
24741,Steven Mcmillan,50,Female,0
10191,Walter Griffin,66,Male,0
6829,Chelsea Williams,43,Male,0
16825,Melissa Cabrera,37,Male,1
18467,Terri Carter,23,Male,0
34857,Alexander Morse,57,Male,1
21801,Anne Leblanc,19,Female,0
11769,John Jones,65,Male,0
22193,Kyle Smith,27,Male,0
7340,Kim Mcdonald,35,Male,1
31538,Joshua Maynard,37,Male,0
33511,Kathleen Brown,56,Male,1
5952,Elizabeth Ingram,55,Male,0
48449,Mrs. Stacy Brown DDS,31,Male,0
17203,James Roberson,62,Male,0
2695,Andrea Ross,45,Female,0
15079,Christine Stanton,24,Male,0
21450,Christopher Barber,39,Female,1
11738,Cynthia Taylor,64,Male,0
15595,Stephen Hughes,40,Male,0
44311,Lauren Torres,49,Female,1
31852,Amber Watson,70,Male,1
46881,Matthew Navarro,40,Male,0
14652,George Johnson Jr.,31,Female,0
835,Richard Smith,59,Male,0
26275,Colton Guerra,64,Female,0
37795,Steven Mccullough,62,Male,0
4553,Roy Rosales,19,Female,0
6656,Stacy Melendez,19,Female,0
45727,April Reynolds,61,Female,0
5243,Kendra Bates,70,Male,1
32153,Megan Perry,28,Female,0
46689,Jessica Lopez,34,Female,0
8034,Patrick Salinas,30,Male,1
49818,Kaylee Evans,67,Female,0
37983,Victoria Michael,67,Male,0
13184,Michael Daniels,62,Female,0
23699,Tina Murray,59,Male,1
15531,Julie Molina,34,Female,0
33338,Christine Dixon,58,Male,1
25314,Joseph Pacheco,42,Male,0
8086,Angel Harris,39,Male,0
46717,Mary Nguyen,44,Female,0
37332,Kayla Fleming,65,Female,0
48175,Nancy Riley,51,Male,0
10481,Stephanie Patel,61,Male,0
42500,Jasmine Miller,43,Female,0
45465,Patrick Baker,58,Female,0
18433,Joshua Wallace,60,Male,0
12338,Sue Sawyer,21,Female,1
9606,Kevin Zimmerman,51,Male,0
44513,Michael Perry,21,Female,0
7048,Shawn Jensen,18,Male,0
7805,Shawn Reynolds,35,Female,0
10762,Ashley Burton,60,Male,0
4272,Scott Green,44,Female,0
11069,Jennifer Ruiz,23,Female,0
46183,Christopher Hawkins,69,Female,0
13534,Shane Martinez,54,Male,0
1298,Robert Hines,61,Male,0
5616,Sarah Rodriguez,48,Male,0
38546,Alicia Shaw,41,Female,0
35164,Diana Snow,58,Female,1
29493,Sandra Simpson,67,Male,0
20394,Shawn Stafford,61,Female,0
25141,Steve Young,37,Female,0
28484,Amber Crawford,25,Female,0
19647,Kelly Dean,37,Male,1
41953,Amber Lara,69,Female,0
34666,Lori Hooper,26,Female,0
48259,Melanie Taylor,42,Female,0
38905,James Phillips,38,Male,0
353,Jessica Gardner,33,Female,1
2159,Ashlee King,69,Female,0
6704,Anthony Rich,58,Male,0
32343,Stephen Meadows,44,Male,1
15543,Robert Hopkins,57,Male,0
29419,Steven Allen,57,Female,0
42327,Matthew Hill DVM,20,Female,1
19293,James Bass,46,Female,0
24863,Jordan Moore,43,Male,0
42859,Kenneth Soto,68,Female,1
1364,Melissa Molina,24,Female,0
3494,Jessica Jimenez MD,51,Female,0
4807,Mason Sanchez,59,Female,0
11116,Lauren Gregory,66,Female,0
1975,Samuel Maldonado,51,Male,0
27690,John Juarez,57,Female,0
39126,Erica Duncan,61,Male,0
10016,Robin West,57,Female,0
37527,Elizabeth Myers,41,Male,1
48220,Yolanda Washington,51,Female,1
21954,Chad Blair,21,Female,0
46055,Krista Mullen,41,Female,0
10125,Elizabeth Haney,19,Male,0
22074,Jacqueline Jones,57,Male,0
35531,Jonathan Marsh,39,Female,0
1193,Xavier Wilson,44,Female,0
21703,Richard Khan,49,Female,0
27337,Shelby Henry,48,Female,1
10458,Luke West,65,Female,0
15399,Joshua Holden,39,Female,0
18400,Shelly Dorsey,36,Male,0
48711,Michael Baker,65,Female,0
7090,Andrew West,37,Female,0
24534,Paul Ford,54,Male,0
2521,Deborah Miller,50,Male,0
5837,Gary Wilson,68,Male,0
4487,Heather Jones,34,Female,1
28778,Tammy Tucker,25,Male,0
26860,Emily Cruz,53,Male,1
23168,Vanessa Lewis,57,Female,0
27357,Kylie Kelley,65,Female,0
6795,Jon Lynch,65,Male,0
6320,Tiffany Tanner,25,Male,0
49031,Suzanne Martinez,53,Female,0
9798,Beverly Martin,19,Female,0
14425,Sarah Young,54,Male,0
35940,Jacqueline Mcgee,33,Male,0
4098,Sarah Garrett,52,Female,0
14875,Christian Contreras,67,Male,1
33471,Valerie Brooks,30,Female,1
6003,Douglas Tyler,60,Female,0
41194,Mckenzie Christensen,54,Female,0
38837,James Warren,54,Female,1
22451,Julie Scott,52,Female,0
18896,Crystal Yoder,55,Female,0
8937,Richard Thompson,19,Male,0
30778,Stephanie Johnson,32,Male,0
48283,John Wilcox,50,Female,0
48313,John Simpson,19,Female,1
7832,Angela Porter,43,Male,0
19150,Michael Moore,20,Male,0
35194,Philip Hinton,40,Female,0
28994,Samantha Ruiz,51,Female,0
14579,Anthony Thomas,42,Female,1
45612,Brandon Lee,49,Male,0
20426,Sarah Flowers,26,Female,0
43648,Sydney Mcguire,35,Female,0
6460,Tyler Fernandez,56,Male,0
37543,Paul Hicks,23,Female,0
6501,Sara Flores,42,Female,0
4919,Michael Jimenez,20,Male,0
5538,Lisa Walters,31,Female,0
9687,Sherri Jones,64,Female,0
33654,James Crane,31,Male,0
45363,Debra Brown,69,Female,0
5737,Jennifer Taylor,56,Male,0
41540,John Turner,68,Female,1
31507,Sandra Hayes,31,Male,0
41334,Anne Williams,42,Female,0
47129,Erin Ewing,41,Male,0
5423,Aaron Jacobs,60,Male,1
28317,Candice Pierce,51,Male,0
41740,Mary Guzman,44,Female,0
28540,Angela Alvarez,19,Female,0
46971,Laura Davis,21,Male,0
4576,Jennifer Diaz,40,Female,0
21401,Eric Hernandez,63,Female,0
41933,Rachel Morgan,69,Female,0
16121,Jordan Smith,58,Female,0
27735,Elizabeth Rivas,41,Male,0
9101,Sonya Blair,56,Male,0
18868,Brenda Moore,24,Female,1
27530,Karina Proctor,40,Female,0
22092,Mrs. Melissa Hernandez,30,Female,0
40530,Anthony Pearson,56,Male,0
23892,Juan Gomez,67,Female,1
15657,Steve Mays,30,Male,0
11397,Vanessa Blackburn,60,Male,0
46942,Anna Martin,62,Female,0
48430,Christopher Duran,24,Male,0
